dataset,method,stage,filter_rank,library_name,differentiation_name,threshold,field_nrmse,state_rmse,active_terms,interpretability_penalty,shift_corr,reference_shift_corr,long_horizon_max_norm,stable,score
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.001,0.21337214668334265,5.633881571582958,60,55.73165667776011,0.693220095335152,1.0,150.75780389427186,True,9.473120648347358
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.0021544346900318843,0.21337214668334265,5.633881571582958,60,55.73165667776011,0.693220095335152,1.0,150.75780389427186,True,9.473120648347358
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.004641588833612777,0.21337214668334265,5.633881571582958,60,55.73165667776011,0.693220095335152,1.0,150.75780389427186,True,9.473120648347358
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.01,0.21337214668334265,5.633881571582958,60,55.73165667776011,0.693220095335152,1.0,150.75780389427186,True,9.473120648347358
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.021544346900318832,0.28698503915131923,37.453710460221885,55,50.500538406813334,0.693220095335152,1.0,150.78644158729028,True,8.687065800173318
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.046415888336127774,0.21261887086771428,4.449275440719447,45,43.21980905496037,0.693220095335152,1.0,152.13480442213142,True,7.3705902291117695
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.1,0.21179810287076353,2.613304392008907,38,39.02814022136878,0.693220095335152,1.0,154.28743098914697,True,6.63601913607608
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.21544346900318823,0.21156695039231363,1.7851072475901357,34,36.90254633455702,0.693220095335152,1.0,153.03780880055967,True,6.256948900575867
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.46415888336127775,0.2125188647175935,4.26772157247467,30,36.90418999968031,0.693220095335152,1.0,152.5429050867607,True,6.198147364669641
kutz_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,1.0,0.4268164615004428,71.541022734323,20,28.900122149347467,0.693220095335152,1.0,153.93694684898827,True,5.061834783902563
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.001,0.2143049775796288,6.825753673638847,60,55.69808542523081,0.6932187775569029,1.0,150.7749964357053,True,9.46901779136425
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.0021544346900318843,0.2143049775796288,6.825753673638847,60,55.69808542523081,0.6932187775569029,1.0,150.7749964357053,True,9.46901779136425
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.004641588833612777,0.2143049775796288,6.825753673638847,60,55.69808542523081,0.6932187775569029,1.0,150.7749964357053,True,9.46901779136425
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.01,0.2143049775796288,6.825753673638847,60,55.69808542523081,0.6932187775569029,1.0,150.7749964357053,True,9.46901779136425
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.021544346900318832,0.31601793848403836,45.326015607723264,55,50.46897010236306,0.6932187775569029,1.0,150.80280231050529,True,8.711363453838496
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.046415888336127774,0.21258697847970007,4.392183027797388,45,43.186950577697,0.6932187775569029,1.0,152.19977979420247,True,7.365629565134249
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.1,0.21180453769021007,2.6326457474296796,38,39.00117373760811,0.6932187775569029,1.0,154.31178739096134,True,6.631980598331427
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,0.21155105198432683,1.713537188892239,33,37.84244804279051,0.6932187775569029,1.0,152.9709312002885,True,6.382918258402903
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,0.2125160607445592,4.2625209765610865,30,36.90582009048527,0.6932187775569029,1.0,152.5735187806167,True,6.198389074317349
kutz_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,1.0,0.43047008881004867,72.35129075704837,20,28.90109954148466,0.6932187775569029,1.0,153.9351986827097,True,5.065635020032747
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.001,inf,inf,60,56.70973931267203,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.0021544346900318843,inf,inf,59,55.60209098292784,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.004641588833612777,inf,inf,56,52.49206748802727,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.01,inf,inf,49,46.21343038829242,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.021544346900318832,inf,inf,41,40.288025897394164,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.046415888336127774,inf,inf,29,29.287974859678567,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.1,inf,inf,30,30.287624622059315,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,inf,inf,26,30.299577201931807,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,inf,inf,22,28.625260696333676,0.03749375934017584,1.0,inf,False,inf
kutz_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,1.0,inf,inf,17,25.822409588249062,0.03749375934017584,1.0,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.001,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.0021544346900318843,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.004641588833612777,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.01,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.021544346900318832,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.046415888336127774,inf,inf,60,56.09191933563144,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.1,inf,inf,59,55.08063116062157,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.21544346900318823,inf,inf,57,53.40461620246553,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,0.46415888336127775,inf,inf,46,45.557057346953705,0.7453689498655076,,inf,False,inf
deepxde_cylinder,raw_sindy,baseline,3,poly3,tvregdiff,1.0,0.06376410871625202,0.7129871577141811,34,36.66077653200078,0.7453689498655076,,22.258183149948415,True,6.072880588516369
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.001,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.0021544346900318843,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.004641588833612777,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.01,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.021544346900318832,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.046415888336127774,inf,inf,60,56.09186008698138,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.1,inf,inf,59,55.08057135361292,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,inf,inf,57,53.404570963024646,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,inf,inf,46,45.55711569961909,0.7453689498655143,,inf,False,inf
deepxde_cylinder,pod_sindy,baseline,10,poly3,tvregdiff,1.0,0.06376299662796849,0.7128387783821151,34,36.66082866254585,0.7453689498655143,,22.25770172239118,True,6.072887296009846
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.001,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.0021544346900318843,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.004641588833612777,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.01,inf,inf,60,56.74885865491068,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.021544346900318832,inf,inf,59,55.730742161268026,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.046415888336127774,inf,inf,59,55.730742161268026,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.1,inf,inf,59,55.730742161268026,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.21544346900318823,inf,inf,56,52.69629407227754,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,0.46415888336127775,inf,inf,51,50.61180507055788,0.9740204130742517,,inf,False,inf
deepxde_cylinder,dmd_sindy,baseline,10,poly3,tvregdiff,1.0,0.09977129389766602,3.0330224855550094,34,35.99192067659033,0.9740204130742517,,21.25249659001426,True,6.008559395386216
